,degree,betweenness,closeness,eigenvector,degree_rank,betweenness_rank,closeness_rank,eigenvector_rank
Eternity / Adam Qadmon,0.18711656441717792,0.00017282232111489611,0.5506756756756757,0.060378336511098106,103,205,99,85
Galactus / Galan,0.3006134969325153,0.0013055277081587624,0.5884476534296029,0.08363865806466741,53,81,53,47
Triathlon / Delroy Gar,0.08588957055214724,4.741207512312442e-05,0.49770992366412214,0.027221556552487293,239,272,247,198
Beetle / Abner Ronald,0.13803680981595093,0.0006080061966548398,0.5292207792207793,0.036236320690250234,148,129,157,152
Lilandra Neramani [s,0.19631901840490798,0.0009876912648734896,0.5433333333333333,0.05196518750245407,97,98,118,99
Odin [asgardian],0.17177914110429449,0.001049188453293345,0.5424292845257903,0.04005069558558957,117,93,120,140
"Hogan, Virginia Pepp",0.049079754601226995,7.821043037316634e-06,0.4759124087591241,0.0154587589688583,316,320,298,285
Mad Dog / Colonel Buzz,0.06441717791411043,6.499952350227577e-05,0.500768049155146,0.017344222800106807,290,259,240,274
"Kincaid, Dr. Jane Fo",0.08588957055214724,0.00027548020047771563,0.49022556390977445,0.01719110854004534,239,171,264,275
Wizard / Bentley Wittm,0.08895705521472393,0.00010449933187429307,0.5085803432137286,0.025416936199084736,231,228,217,219
Charcoal / Charlie Bur,0.06441717791411043,8.442806405923516e-05,0.49244712990936557,0.014682034890435075,290,243,259,290
Blob / Fred J. Dukes,0.1901840490797546,0.0012099472781385411,0.5525423728813559,0.046149969650483125,98,86,95,114
Cloak / Tyrone Johnson,0.0736196319018405,0.00018919532396355015,0.5182829888712241,0.018443267991148142,272,192,196,264
Thunderstrike / Eric K,0.31901840490797545,0.0031313746674110476,0.5948905109489051,0.08581255533714092,49,52,49,44
Power Man / Erik Joste,0.12883435582822086,0.00044241909389245495,0.5232744783306581,0.03180110071087276,160,144,179,172
Human Torch Android / ,0.11042944785276074,0.00031782915758952763,0.50231124807396,0.032514102977161424,191,168,236,169
Juggernaut / Cain Mark,0.09202453987730061,0.00038641508276766586,0.5199362041467305,0.025180172530609793,222,157,191,222
Absorbing Man / Carl C,0.15950920245398773,0.0006065326076177697,0.5424292845257903,0.042199611429800055,130,130,120,132
Volstagg,0.12576687116564417,0.000779615444211561,0.531810766721044,0.024383159929371994,163,110,149,229
Shaman / Michael Twoyo,0.23006134969325154,0.0005668186733164082,0.5640138408304498,0.07002014067761073,79,132,78,71
Snowbird / Narya / Anne,0.09202453987730061,5.9988353612612454e-05,0.5224358974358975,0.030507536071209384,222,265,184,177
Dagger / Tandy Bowen,0.08895705521472393,0.00020405967579069725,0.5224358974358975,0.025533023590465397,231,187,184,215
Phoenix Iii / Rachel S,0.16564417177914112,0.0009030639544675906,0.5451505016722408,0.039706695801599856,125,101,112,142
Mandarin,0.06748466257668712,6.31495641098554e-05,0.5,0.018132061494598263,283,262,242,268
Fandral [asgardian],0.13803680981595093,0.0010939362808513038,0.5361842105263158,0.027884313269540068,148,91,138,190
Ms. Marvel Ii / Sharon,0.07975460122699386,6.608726259782706e-05,0.5191082802547771,0.025667947508294313,256,257,194,213
Pip / Prince Gofern,0.18404907975460122,0.00016170696441082283,0.5497470489038786,0.05840503375340344,106,208,101,89
Enchantress / Amora / He,0.2116564417177914,0.0015988730652813676,0.5582191780821918,0.05318203086924593,89,71,87,97
"Jameson, Col. John",0.11042944785276074,0.0014719964555517102,0.50231124807396,0.020616234155395263,191,76,236,248
"Cooper, Dr. Valerie",0.2147239263803681,0.00288267120495647,0.5591766723842195,0.04980492108619042,87,55,85,105
