,degree,betweenness,closeness,eigenvector,degree_rank,betweenness_rank,closeness_rank,eigenvector_rank
ATOM SMASHER II / ,0.0014058106841611997,8.541366975618062e-09,0.3631516251630836,0.0008822629368472344,5057,3968,4337,4797
ATOM SMASHER / ,0.0015620118712902217,0.0,0.37012198647164246,0.0012576576993278475,4812,4067,3649,4197
"ATOR, GENERAL",0.0078100593564511085,2.543368394503833e-06,0.39460059171597633,0.006470113042209405,1526,2651,2055,1543
ATTRACTIVE LAD / AUNDR,0.004217432052483598,0.0,0.37716507599858606,0.0026099733631398084,2569,4067,3036,2893
ATTUMA,0.03373945641986879,0.00035694933704053406,0.4751725673569361,0.03155972934229617,286,450,282,223
AUGUST PERSONAGE IN,0.006560449859418931,0.00010119722343360502,0.427113216358663,0.006675479207689325,1811,849,1006,1512
AUNTIE FREEZE / ,0.0014058106841611997,1.6150881676500067e-08,0.36641483516483514,0.001051980127738334,5057,3911,4088,4470
AURA / ANN HERD,0.007029053420805998,2.1536515187562606e-05,0.3849900775753202,0.0029063231133820457,1704,1562,2537,2714
AURIC / ,0.010153077163386441,2.1418418375089612e-05,0.415660303856642,0.008062907923197265,1193,1564,1294,1278
AURORA DOPPELGANGER,0.007341455795064043,0.0,0.4189242245779348,0.008332897836318302,1640,4067,1212,1233
AURORA / JEANNE-MARIE,0.06341768197438301,0.0020463694028656078,0.5030645921735031,0.0512803799282834,117,156,82,77
AURORA | MUTANT X-VE,0.0023430178069353325,0.0,0.34452696157571844,0.00029677513645138317,3856,4067,5507,5889
"AUSTIN, GEN.",0.002499218994064355,1.0067409823792125e-06,0.3707221031906885,0.0016682859978578467,3730,3000,3566,3642
"AUSTIN, SUSAN",0.019212746016869727,0.0002728527097872825,0.44486137169064,0.015403895006335572,589,515,691,664
"AUSTIN, TERRY",0.004842236800999687,1.6325910327178116e-06,0.3963595839524517,0.004763883358137354,2327,2825,1986,1972
"AUTHIER, POLICE CHIE",0.0060918462980318645,2.880025408576697e-06,0.34659736884846515,0.0014825362531646594,1940,2583,5332,3886
"AUTHIER, TRACY TRACE",0.005154639175257732,1.4335631076073205e-06,0.34996993385447983,0.0015300851547098279,2237,2879,5176,3839
AUTHORITY / ,0.0032802249297094657,8.57770663560046e-06,0.38399712092130517,0.0023500038960659895,3094,2009,2600,3053
AUTOLYCUS,0.0015620118712902217,0.0,0.350276303550911,0.0015578040061163837,4812,4067,5157,3784
