,degree,betweenness,closeness,eigenvector,degree_rank,betweenness_rank,closeness_rank,eigenvector_rank
SISTER SALVATION,0.0008547008547008547,0.0,0.34346103038309117,0.0013269904153712872,1996,1310,1129,1617
"SITWELL, JASPER",0.013675213675213675,0.000260808007704907,0.38537549407114624,0.01855906957132392,305,379,263,285
SKAR,0.002564102564102564,0.0,0.32925284930350357,0.0011285663743394127,1362,1310,1555,1748
SKIDS / SALLY BLEVINS,0.02094017094017094,0.00019321376678906448,0.35867565910484367,0.018303640018403167,208,427,540,287
SKIN / ANGELO ESPINOSA,0.014102564102564103,0.0006520064317067161,0.35411622276029053,0.00900007419326132,296,292,653,494
SKIN II / DONNA BLISS,0.002136752136752137,1.287933050000438e-05,0.2635135135135135,9.699823102504084e-05,1489,745,2248,2216
"SKIN, NYLA",0.0008547008547008547,0.0,0.3292991837883479,0.000959532081360537,1996,1310,1548,1820
SKOOKA,0.0017094017094017094,1.2180431162902304e-07,0.3203285420944558,0.000871646128149004,1649,1244,1772,1875
SKULLBUSTER,0.002136752136752137,0.0,0.2595385980479148,0.0002642714207266797,1489,1310,2275,2121
"SLAG / SLAGHT, DR. THE",0.00042735042735042735,0.0,0.3377598152424942,0.0012226788388201683,2176,1310,1314,1664
SLEDGE,0.0017094017094017094,0.0,0.3041726244637983,0.0015540672859124722,1649,1310,2001,1509
SLEEPER,0.0017094017094017094,0.0,0.2918433524569718,0.0004299949504186528,1649,1310,2108,2066
SLEEPWALKER,0.003418803418803419,0.004325366182924548,0.34977578475336324,0.001839696803150446,1126,100,819,1393
SLITHER,0.006837606837606838,7.843660795091411e-06,0.3620609624013616,0.009447137405109404,605,824,481,477
"SLOAN, DR.",0.0029914529914529912,8.819212182472836e-07,0.34743875278396436,0.001737870367332737,1243,1048,952,1434
"SLOAN, FRED",0.0038461538461538464,5.592451280229124e-06,0.3371757925072046,0.0029051624095741357,1005,864,1346,1072
"SLOAN, JASON",0.0017094017094017094,0.0,0.334907685702018,0.001984569667598451,1649,1310,1399,1339
SLUG / ULYSSES X. LUGM,0.004273504273504274,0.0009203647614236815,0.33466819221967964,0.001319362414223541,937,238,1407,1620
SMASHER IV,0.0038461538461538464,1.486012601874081e-06,0.29601518026565465,0.0009031750038499763,1005,993,2073,1862
